Unspecified,,,,,,,,,,,
Unspecified,,,,,,,,,,,
Project,Project Title,Total Project Cost (KES),Funding Type,Funding Source,Start Date (Planned),Start Date (Actual),Duration (Months),Vision 2030 Flagship Ministry,MTEF Sector,Implementing Agency,Implementation Status
2011/052962,Construction Of Nyandarua North District Headquarters.,"35,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/052969,Erection &Nbsp;And Completion Of Office Block For Ovp And Moha (Mombasa),"273,513,640",GoK; Unspecified,Government of Kenya,09/01/2008,22/09/2008,39 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/052983,Construction Of District Registrar'S Office,"1,680,000",GoK,Government of Kenya,09/01/2010,15/09/2010,9 months,Unspecified,"Governance, Justice, Law and Order (GJLOS); Unallocated",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053032,Thika Prison,"4,250,000",GoK; Unspecified,Government of Kenya,07/01/2008,08/01/2008,34 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053034,Construction Of Prisoners Ward In Maranjau Prison,"375,000",GoK; Unspecified,Government of Kenya,07/01/2008,08/01/2008,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053038,Hqrs: Installation Of Steel Water Tank At The Ministry Hqrs.- Jogoo A,"3,897,000",Unspecified,Government of Kenya,07/01/2008,,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053044,Hqrs: Refurbishment Of &Nbsp;Vpps Press Unit Jogoo A,"1,900,000",Unspecified,Government of Kenya,07/01/2010,,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053047,Maranjau Prison,"954,750",GoK; Unspecified,Government of Kenya,07/01/2008,08/01/2008,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053049,Construction Of A Septic Tank In Maranjau Prison,"100,000",GoK; Unspecified,Government of Kenya,07/01/2008,08/01/2008,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Terminated
2011/053053,Probation: Construction Of Office/Non-Residential Buildings; Refurbishment Of Non-Residential Buildings In Kisii Central,"1,000,000",Unspecified,Government of Kenya,07/01/2009,07/01/2009,23 months,Unspecified,Unspecified,102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053056,Probation: Construction Of Office/Non-Residential Buildings; &Nbsp;Other Infrastructure And Civil Works; Acquisition Of Land In Masaba`- Nyamira,"4,200,000",Unspecified,Government of Kenya,07/01/2009,07/01/2009,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053057,Construction Of 2 Prisoners Ward In Yatta Prison,"10,800,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053061,Probation: Refurbishment Of Non-Residential Buildings In Kisumu East,"4,575,000",Unspecified,Government of Kenya,07/01/2008,,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
